time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:fileDeletionBacklog,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2017-06-20 10:31:33.945 UTC, ,125,3158477,824,12624, , ,3, ,3, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,1077,1,469,469,1, ,2,4, ,49,49, , , , , ,1,10, , , , , , , , , , , , , , , , , , , , , , , , ,1497954693479, , , , ,3145728, , , , ,9,3,19,3,3,3, , ,3,4, , , , , , , ,38,1, , ,12288,3,1087,3, , , , , , , , ,22813872,-1, , , , , , ,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-06-20 10:32:33.950 UTC, ,5302,94673286,48680,91519696,2480, ,35059, ,35594127, , , , , , , , , ,35059,351, , , ,35313,35055,4, ,1225719,89, , , , , , , , , , ,33865601, , ,206165570016,25,20000845,206158522751,24,11757,53400,55068, ,49,49,2718,846,1872,1924,35,43956,7993048,36, ,47868,896,46972,94917,302,470,79, , , ,325,7845086, , , , , , , , , , ,1497954693479, , , , ,3145728, , ,10479497,87,209,24,6831,24,146,24, , ,3,73, , , ,89,11,1594566,280,135920606,186, , ,358880599,43860,356159799,365, , , ,10,1,43,352,472,152551304,-1, , , , , , ,35557587,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4386066, ,141486,25078073,141486,4723549, , , , , , 
2017-06-20 10:33:33.954 UTC, ,8048,94687712,51696,91531456,2480, ,35061, ,31600328, , , , , , , , , ,35061,351, , , ,35315,35056,5, ,268752,424, , , , , , , , , , ,31385318, , ,468152691293,55,20000850,463856582283,30,44983,65861,68349, ,47,47,18731,61,18670,14673,59,73260,15955992,60, ,47347,162,47185,28298,1793,2183,27, , , ,1974,15844632, , , , , , , , , , ,1497954693479, , , , ,3145728, , , ,402,163,30,7559,30,179,30, , ,3,90, , , ,424,11,2229218,629,159261725,225, , ,598277261,73152,440941284,453, , , , , , ,376,458,114029968,-1, , , , , , ,31593514,5, , ,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,15659958, ,15659958, , , , , , 
2017-06-20 10:34:08.929 UTC, ,6855,197395247,59104,194242664, , ,36207, ,15938751, , , , , , , , , ,36207,392, , , ,3109,36142,66, ,59872,244, , , , , , , , , , ,15807633, , ,601302903182,71,20002384,601295547800,16,3261,48671,49766, ,49,49,2655, ,2655,15106,28,32967,5646643,27, ,14197,106,14091,29839,602,749,9, , , ,706,5584035, , , , , , , , , , ,1497954693479, , , , ,3145728, , ,1046583,232,197,16,4736,16,92,16, , ,3,47, , , ,244,13,878626,333,62813410,96, , ,269412931,32927,252356407,259, , , ,1,3,425,93,407,359070384,-1, , , , , , ,28955342,2, , ,3, ,2, , , , , , , , , , , , , , , , , , , , , , , , ,141546, ,8772162,9919035, ,5674515, , , , , , 
2017-06-20 10:35:38.385 UTC, ,2250,3258610,57600,110632, , ,6,4,417,7,0.02, , , , , , , ,6,4, ,31,4,7,3,5, ,367,71, , , , , , , , , , , , , ,601303055099,73,1407630400,601303051840,1,4,1,4, ,54,54, , , , , ,932,3892, , , , , , , , , , , , , , , , , , , , , , , , ,1497954937905, , , , ,3145728, , , ,88,8,1,8,1,9,1, , ,3,2, , , ,88, ,31285,22,3391,1, , ,15633446,1979, , , , , , , , ,1,6,17101200,-1, , , , , , ,342, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-06-20 10:36:38.388 UTC, ,3178,11574794,58376,8422304,3584, ,3027,58,427303,1905,0.00, , , , , , ,58,3027,243, , , ,3173,2993,215, ,3149,67, , , , , , , , , , ,339814,196, ,605595650274,74,7617966,605595637102,1,3,4,9, ,54,54, , , , ,1,1221,300156,1, , , , ,229,48,57, , , , ,57,299867, , , , , , , , , , ,1497954937905, ,58, , ,3145728, , , ,2199,18,1,22,1,21,1, , ,3,2, , , ,2199,16,4992413,1364,7627201,10, ,413,10454980,2489,3145676,3, , , , , , ,19,52,276123048,-1, , , , , , ,9058770, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,141487, ,8772191,337, ,141522, , , , , , 
2017-06-20 10:36:48.302 UTC, ,3178,11571210,58376,8422304, , ,3027, , , , , , , , , , ,58,3027,243, , , ,3173,2993,215, , , , , , , , , , , , , , , , ,605595650274,74,7617966,605595637102, , , , , ,54,54, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1497954937905, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,16, , , , , , , , , , , , , , , , , , ,276123080,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-06-20 10:39:53.195 UTC, ,2375,3176863,6256,28760, , ,6,5,72,6,0.08,1, , , , , ,1,6,4, ,5,4,7,3,6, ,96,43, , , , , , , , , , , , , ,609887094578,76,1421737083,609887093115,1,2, ,2, ,53,53, , , , , ,213,768, , , , , , , , , , , , , , , , , , , , , , , , ,1497955192697, , , , ,3145728, , , ,61,10,1,10,1,10,1, , ,3,2, , , ,61, ,152494,46,1595,1, , ,24847933,3069, , , , , , , , ,1,6,14672208,-1, , , , , , ,60, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-06-20 10:40:53.198 UTC, ,2375,11462511,58792,8310824,3584, ,2997,58,423103,2991,0.01, , , , , , ,58,2997,243, , ,1,3145,2964,214, ,94,93, , , , , , , , , , ,354868,207, ,609887094578,76,1421737083,609887093115, , , , , ,51,51, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1497955192697, ,58, , ,3145728, , , ,3324,0, , , ,20, , , ,3, , , , ,3324,18,5342014,2683,4194282,4, ,1437,4690123,2098,3145679,3, , , , , , ,15,62,265226280,-1, , , , , , ,9055602, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8772192,306, ,283008, , , , , , 
2017-06-20 10:41:53.202 UTC, ,2375,11462511,58792,8310824,3584, ,2997, , , , , , , , , , ,58,2997,243, , , ,3145,2964,214, , , , , , , , , , , , , , , , ,609887094578,76,1421737083,609887093115, , , , , ,51,51, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1497955192697, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,18, , , , , , , , , , , , , , , , , , ,271119608,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
